news,link,city,lat
"Rape, murder accused shot while trying to flee from police custody in Assam’s Morigaon district",https://www.indiatoday.in/crime/story/rape-murder-accused-shot-while-trying-to-flee-from-police-custody-in-assam-s-morigaon-district-1823271-2021-07-03, Guwahati,"(26.1805978, 91.753943)"
Madurai NGO ‘sells off’ 1-year-old baby after orphaned family comes looking for shelter,https://www.indiatoday.in/crime/story/madurai-ngo-sells-baby-to-couple-1821578-2021-07-01, Madurai,"(9.9261153, 78.1140983)"
"Minor sisters hack to death drunkard, abusive father as he tries to kill ailing wife",https://www.indiatoday.in/crime/story/chhattisgarh-minor-sisters-hack-kill-father-with-axe-1821514-2021-07-01, Raipur,"(21.2379469, 81.6336833)"
"Rajasthan man ties wife with chains for 3 months over suspicion of affair, arrested",https://www.indiatoday.in/crime/story/rajasthan-police-rescue-woman-chained-husband-months-suspicion-affair-1821449-2021-07-01, Jaipur,"(26.9154576, 75.8189817)"
"Minor gang-raped in UP's Sultanpur, stepsister among 3 held",https://www.indiatoday.in/crime/story/minor-girl-gang-raped-in-up-3-held-1821413-2021-07-01, Sultanpur,"(26.242510850000002, 82.29616931685918)"
"PhD scholar, former DU student held for stealing luxury cars, selling them in Manipur ",https://www.indiatoday.in/cities/story/phd-scholar-former-du-student-held-for-stealing-luxury-cars-selling-them-in-manipur-1821357-2021-06-30, New Delhi,"(28.6138954, 77.2090057)"
Woman trapped inside Meghalaya bank for 3 days as robbery attempt goes awry,https://www.indiatoday.in/crime/story/woman-trapped-inside-meghalaya-bank-robbery-gone-wrong-1821025-2021-06-30, Shillong,"(25.5760446, 91.8825282)"
"Hyderabad: Speedy Audi car rams into auto, kills passenger in auto",https://www.indiatoday.in/india/video/hyderabad-speedy-audi-car-rams-into-auto-kills-passenger-in-auto-1820640-2021-06-29, Shillong,"(25.5760446, 91.8825282)"
"Dog tied to scooty, dragged on road in Punjab's Patiala",https://www.indiatoday.in/crime/story/dog-tied-to-scooty-dragged-on-road-punjab-patiala-1820247-2021-06-28, Patiala,"(30.2090874, 76.3398720856221)"
Three dead after being given poison in guise of Covid cure pills; 2 arrested,https://www.indiatoday.in/crime/story/3-dead-poison-disguised-as-covid-cure-pills-erode-1820169-2021-06-28, Erode,"(11.369204400000001, 77.67662686841793)"
"Nashik Police busts rave party at Igatpuri villas; actors, choreographers detained",https://www.indiatoday.in/crime/story/nashik-police-busts-rave-party-at-igatpuri-villas-actors-choreographers-detained-1820039-2021-06-27, Mumbai,"(19.0759899, 72.8773928)"
Rajasthan girl gangraped after father forces her into prostitution,https://www.indiatoday.in/crime/story/rajasthan-girl-gangraped-after-father-forces-her-into-prostitution-1819975-2021-06-27, Jodhpur,"(26.2967719, 73.0351433)"
Killer’s slip-up helps Chattisgarh police crack murder case after 10 years,https://www.indiatoday.in/crime/story/killer-slip-up-helps-chattisgarh-police-crack-murder-case-after-10-years-1819972-2021-06-27, New Delhi,"(28.6138954, 77.2090057)"
"Awaiting trial under POCSO for over two years in prison, labourer pleads guilty",https://www.indiatoday.in/crime/story/awaiting-trial-under-pocso-for-over-two-years-in-prison-labourer-pleads-guilty-1819355-2021-06-25, Mumbai,"(19.0759899, 72.8773928)"
"Imam castrated, killed by wife for planning another marriage",https://www.indiatoday.in/crime/story/imam-castrated-killed-by-wife-for-planning-another-marriage-1819318-2021-06-25, Muzzafarnagar,"(29.3549973, 77.8281109)"
"Doctor booked for conducting sex determination tests, absconding",https://www.indiatoday.in/crime/story/doctor-booked-for-conducting-sex-determination-tests-absconding-1819260-2021-06-25, Muzaffarnagar,"(29.44800635, 77.74068502568672)"
Delhi: 23-year-old man shot dead in suspected honour killing,https://www.indiatoday.in/india/video/23-year-old-man-shot-dead-in-suspected-honour-killing-1819220-2021-06-25, Muzaffarnagar,"(29.44800635, 77.74068502568672)"
"UP man marries woman after faking identity, forces her to convert, rapes daughter",https://www.indiatoday.in/cities/lucknow/story/uttar-pradesh-lucknow-man-marries-woman-faking-identity-forces-convert-rapes-daughter-1819130-2021-06-25, Lucknow,"(26.8381, 80.9346001)"
"Village sarpanch tries to marry off grandson with local girl, her kin thrashes, abducts him",https://www.indiatoday.in/crime/story/village-sarpanch-marry-off-grandson-local-girl-her-kin-thrashes-abducts-him-1819081-2021-06-25, Neemuch,"(24.63044655, 75.18339614635457)"
"Delhi: Man killed, wife shot at five times in suspected case of honour killing",https://www.indiatoday.in/cities/delhi/story/delhi-man-killed-wife-shot-at-five-times-in-suspected-case-of-honour-killing-1819078-2021-06-25, New Delhi,"(28.6138954, 77.2090057)"
Police arrests man for allegedly forcing wife to convert after marriage in Gujarat's Vadodara,https://www.indiatoday.in/crime/story/police-arrests-man-for-allegedly-forcing-wife-to-convert-after-marriage-in-gujarat-s-vadodara-1819013-2021-06-24, Vadodara,"(22.2973142, 73.1942567)"
Former cop arrested in Mumbai for smuggling 'whale vomit' worth Rs 7.75 crore,https://www.indiatoday.in/crime/story/former-cop-arrested-in-mumbai-for-smuggling-whale-vomit-worth-rs-7-75-crore-1818955-2021-06-24, Mumbai,"(19.0759899, 72.8773928)"
"State-level shooter duped of lakhs in Delhi, given currency-sized papers for phone, licenced pistol",https://www.indiatoday.in/cities/delhi/story/delhi-shooter-duped-lakhs-fake-currency-sized-papers-phone-licenced-air-pistol-1818809-2021-06-24, New Delhi,"(28.6138954, 77.2090057)"
Family sells minor for Rs 1.55 lakh in MP after she elopes with brother-in-law,https://www.indiatoday.in/crime/story/minor-sold-lakh-madhya-pradesh-elopes-brother-in-law-gujarat-1818758-2021-06-24, Bhopal,"(23.2584857, 77.401989)"
"After 4 die of suffocation, 6 from victims' family arrested for manufacture of illicit liquor",https://www.indiatoday.in/crime/story/suffocation-deaths-victims-family-arrested-manufacture-illicit-liquor-1818732-2021-06-24, Bareilly,"(28.457876, 79.40557093743058)"
Delhi Police arrests two people over cheating in separate incidents,https://www.indiatoday.in/crime/story/delhi-police-arrests-two-people-over-cheating-in-separate-incidents-1818559-2021-06-23, Delhi,"(28.6517178, 77.2219388)"
"Tamil Nadu cops, on duty to stop people from crossing district border, thrash man in Salem",https://www.indiatoday.in/crime/story/tamil-nadu-cops-duty-stop-district-border-thrash-salem-1818426-2021-06-23, Salem,"(11.6612012, 78.1602498)"
"Tamil Nadu man visits girlfriend's home on hearing of her marriage, beaten to death",https://www.indiatoday.in/crime/story/tamil-nadu-man-girlfriend-home-hearing-marriage-beaten-death-1818372-2021-06-23, Dindigul,"(10.3303299, 78.0673979084697)"
"Ludhiana shocker: 9-year-old girl murdered by mother, step-father for insurance payout",https://www.indiatoday.in/cities/story/ludhiana-girl-murdered-by-mother-step-father-for-insurance-money-1818312-2021-06-23, New Delhi,"(28.6138954, 77.2090057)"
Bhopal man arrested for raping daughter for over 3 years,https://www.indiatoday.in/cities/bhopal/story/bhopal-man-arrested-raped-daughter-for-three-years-1818251-2021-06-23, Bhopal,"(23.2584857, 77.401989)"
"UP: Man accused of raping toddler tries to flee, shot in leg by police",https://www.indiatoday.in/crime/story/up-bahraich-minor-rape-accused-shot-in-leg-police-1818034-2021-06-22, Bahraich,"(27.7336958, 81.47732127661058)"
"Relatives thrash UP woman, shave her head for interfaith marriage",https://www.indiatoday.in/crime/story/up-woman-interfaith-marriage-thrashed-barabanki-1817997-2021-06-22, Barabanki,"(26.93823105, 81.38609761204991)"
NCB seizes over 2 tonnes of marijuana hidden inside truck near Hyderabad,https://www.indiatoday.in/india/story/ncb-seizes-2-tonnes-marijuana-hyderabad-bengaluru-1817733-2021-06-22, Bengaluru | Hyderabad,"(15.8147021, 78.0265024)"
Pune: Woman files case against husband after he gets 13-year-old daughter married,https://www.indiatoday.in/crime/story/pune-woman-case-husband-child-marriage-daughter-1817543-2021-06-21, Pune,"(18.521428, 73.8544541)"
Karnataka priest among 5 held for trying to sacrifice 10-year-old girl to ‘ward off evil’ from field,https://www.indiatoday.in/crime/story/karnataka-priest-sacrifice-girl-bengaluru-crime-1817433-2021-06-21, New Delhi,"(28.6138954, 77.2090057)"
3 lynched in Tripura on suspicion of cattle theft: Police,https://www.indiatoday.in/crime/story/lynched-tripura-suspicion-cattle-theft-police-1817391-2021-06-21, Agartala,"(23.8312377, 91.2823821)"
Malda killings: Accused lured family into tunnel on pretext of clicking photos,https://www.indiatoday.in/crime/story/malda-killings-accused-lured-family-into-tunnel-on-pretext-of-clicking-photos-1817306-2021-06-21, Malda,"(25.0057449, 88.1398483)"
"MP woman googles how to commit murder, kills husband with lover’s help",https://www.indiatoday.in/crime/story/mp-woman-googles-how-to-commit-murder-kills-husband-1817282-2021-06-20, Harda,"(22.3388828, 77.0929933)"
"Bengal: Malda youth held for killing, burying four family members inside house",https://www.indiatoday.in/crime/story/west-bengal-malda-youth-held-murder-family-members-1817038-2021-06-19, Kolkata,"(22.5726723, 88.3638815)"
"Self-proclaimed baba, preparing for sixth marriage, arrested in Kanpur after wife foils plan",https://www.indiatoday.in/crime/story/fake-kanpur-baba-marriage-arrest-cheating-women-uttar-pradesh-1816828-2021-06-19, Kanpur,"(26.4609135, 80.3217588)"
"After parents’ death, man rapes minor sister for 3 years in Ahmedabad",https://www.indiatoday.in/crime/story/ahmedabad-after-parents-death-man-rapes-minor-sister-three-years-1816794-2021-06-19, Ahmedabad,"(23.0216238, 72.5797068)"
42-year-old man arrested for raping daughters multiple times in Mangaluru,https://www.indiatoday.in/crime/story/42-year-old-man-arrested-for-raping-daughters-multiple-times-in-mangaluru-1816786-2021-06-19, Mangalore,"(12.8698101, 74.8430082)"
"Woman-son murder case: Husband's body found, suicide suspected",https://www.indiatoday.in/india/story/woman-son-murder-case-husband-s-body-found-suicide-suspected-1816784-2021-06-19, Pune,"(18.521428, 73.8544541)"
"Tension in Tamil Nadu’s Tirunelveli after six assault Dalit youth, two Sri Lankan refugees ",https://www.indiatoday.in/crime/story/tension-tamil-nadu-tirunelveli-assault-dalit-sri-lankan-refugees-1816449-2021-06-18, Tirunelveli,"(8.7012203, 77.5792694)"
"Odisha man rapes 6-year-old on pretext of giving chocolate, kills her later",https://www.indiatoday.in/crime/story/odisha-man-rapes-kills-minor-on-pretext-of-giving-chocolate-1816325-2021-06-18, Nayagarh,"(20.1160666, 85.11195643843573)"
"Delhi: Couple sells newborn for Rs 3.6 lakh, 6 arrested",https://www.indiatoday.in/cities/delhi/story/delhi-couple-sells-newborn-lakh-arrested-uttar-pradesh-1816317-2021-06-18, New Delhi,"(28.6138954, 77.2090057)"
Delhi Police files FIR against Instagram accounts for promoting enmity between religions,https://www.indiatoday.in/cities/delhi/story/delhi-police-special-cell-fir-instagram-promoting-enmity-religions-1816166-2021-06-17, New Delhi,"(28.6138954, 77.2090057)"
Jharkhand shelter home case: Four arrested for sexual assault of minor girls,https://www.indiatoday.in/crime/story/jharkhand-shelter-home-case-four-arrested-sexual-assault-minor-girls-1815787-2021-06-17, Ranchi,"(23.3700354, 85.3250132)"
"Woman attendant alleges sexual harassment in Jamnagar's GG Hopsital, Gujarat CM orders probe",https://www.indiatoday.in/crime/story/woman-attendant-alleges-sexual-harassment-in-jamnagar-s-gg-hopsital-gujarat-cm-orders-probe-1815741-2021-06-16, Ahmedabad,"(23.0216238, 72.5797068)"
"Watch: Police nab 22-year-old for beating, robbing woman in Delhi's Sultanpuri",https://www.indiatoday.in/india/video/delhi-police-sultanpuri-robbery-cctv-1815593-2021-06-16, Ahmedabad,"(23.0216238, 72.5797068)"
"22-year-old beats, robs woman of her mobile phone in Delhi's Sultanpuri, arrested | Watch",https://www.indiatoday.in/cities/delhi/story/22-year-old-beats-robs-woman-her-mobile-phone-delhi-sultanpuri-arrested-watch-1815442-2021-06-16, New Delhi,"(28.6138954, 77.2090057)"
"Fiancé takes woman out for shopping, kills her five days before wedding",https://www.indiatoday.in/crime/story/moradabad-fiance-kills-woman-days-before-wedding-1815346-2021-06-16, Moradabad,"(28.8638424, 78.80577833091104)"
FIR against self-styled guru Shiv Shankar Baba provides detailed account of sexual abuse,https://www.indiatoday.in/crime/story/fir-shiv-shankar-baba-detailed-account-sexual-abuse-1815297-2021-06-16, Chennai,"(13.0836939, 80.270186)"
Bragging about his clout lands man in police net for murder in Maharashtra's Thane,https://www.indiatoday.in/crime/story/bragging-about-his-clout-lands-man-in-police-net-for-murder-in-maharashtra-s-thane-1815078-2021-06-15, Thane,"(19.1943294, 72.9701779)"
"Elderly woman sexually assaulted, dies after being stabbed multiple times in Delhi: Police",https://www.indiatoday.in/crime/story/elderly-woman-sexually-assaulted-stabbed-multiple-times-1814871-2021-06-15, New Delhi,"(28.6138954, 77.2090057)"
"Retired Mumbai cop opens fire on sons, one dies while other escapes with injuries",https://www.indiatoday.in/crime/story/retired-mumbai-cop-opens-fire-on-sons-one-killed-1814857-2021-06-15, Mumbai,"(19.0759899, 72.8773928)"
"Rajasthan: Rape accused, out on bail, arrested for killing victim",https://www.indiatoday.in/crime/story/rajasthan-rape-accused-out-on-bail-arrested-for-killing-victim-1814847-2021-06-15, Jodhpur,"(26.2967719, 73.0351433)"
"Police: Stepson kills all of family, then dies by suicide",https://www.indiatoday.in/crime/story/police-stepson-kills-all-of-family-then-dies-by-suicide-1814539-2021-06-14, Dhanbad,"(23.7952809, 86.4309638)"
Odisha man sells minor daughter to repay loan; girl rescued after grandfather lodges FIR,https://www.indiatoday.in/crime/story/odisha-man-sells-minor-daughter-repay-debt-fir-lodged-1814545-2021-06-14, Bhubaneshwar,"(20.2602964, 85.8394521)"
"Out on bail, rape accused stabs victim to death in Rajasthan village",https://www.indiatoday.in/crime/story/rape-accused-murder-victim-rajasthan-1814497-2021-06-14, Sirohi,"(24.811404699999997, 72.83002573160249)"
Ghaziabad man kills parents after they deny him share in property,https://www.indiatoday.in/crime/story/ghaziabad-man-kills-parents-after-they-deny-him-share-in-property-1814461-2021-06-14, New Delhi,"(28.6138954, 77.2090057)"
Jharkhand man rapes minor stepdaughter after luring her with cold drink,https://www.indiatoday.in/crime/story/jharkhand-man-rape-stepdaughter-ranchi-cold-drink-pretext-1814454-2021-06-14, Ranchi,"(23.3700354, 85.3250132)"
Rajasthan: Prime accused in doctor couple's murder case held,https://www.indiatoday.in/crime/story/prime-accused-arrested-bharatpur-doctor-couple-murder-case-1814420-2021-06-14, Jaipur,"(26.9154576, 75.8189817)"
"Brownie points? NCB raids Mumbai bakery, seizes cannabis-based brownies",https://www.indiatoday.in/cities/mumbai/story/mumbai-malad-bakery-raid-cannabis-brownies-edibles-marijuana-seized-1814321-2021-06-13, Mumbai,"(19.0759899, 72.8773928)"
Self-styled guru Shiv Shankar Baba booked after sexual abuse complaints,https://www.indiatoday.in/cities/chennai/story/self-styled-guru-shiv-shankar-baba-booked-after-sexual-abuse-complaints-1814297-2021-06-13, Chennai,"(13.0836939, 80.270186)"
"Man lynched over cow theft suspicion in Assam's Tinsukia, 12 nabbed",https://www.indiatoday.in/crime/story/man-lynched-over-cow-theft-suspicion-in-assam-s-tinsukia-12-nabbed-1814269-2021-06-13, Guwahati,"(26.1805978, 91.753943)"
Cannabis worth Rs 1.1 crore seized from Delhi-bound oxygen carrier in Odisha,https://www.indiatoday.in/crime/story/odisha-ganja-worth-rs-1-1-crore-seized-from-delhi-bound-oxygen-carrier-1814238-2021-06-13, Bhubaneshwar,"(20.2602964, 85.8394521)"
"Gujarat man rapes, impregnates 19-year-old daughter",https://www.indiatoday.in/crime/story/gujarat-man-held-for-raping-impregnating-teenage-daughter-1814186-2021-06-13, New Delhi,"(28.6138954, 77.2090057)"
"TikTok star Vignesh Krishna arrested for raping, impregnating minor",https://www.indiatoday.in/crime/story/tiktok-star-vignesh-krishna-arrested-raping-impregnating-minor-kerala-1814183-2021-06-13, Thrissur,"(10.5256264, 76.2132542)"
"Covid positive Odisha man kills daughter, self; wife, three other children injured",https://www.indiatoday.in/cities/story/covid-positive-odisha-man-kills-daughter-self-wife-other-children-injured-1814180-2021-06-13, Sambalpur,"(21.4, 83.883333)"
Man held for setting ablaze patient at hospital in Madhya Pradesh's Sagar,https://www.indiatoday.in/crime/story/madhya-pradesh-sagar-hospital-man-fire-1813868-2021-06-12, New Delhi,"(28.6138954, 77.2090057)"
Assam Police arrests two for assault of 81-year-old doctor in Biswanath district,https://www.indiatoday.in/crime/story/assam-police-arrests-2-assault-doctor-biswanath-1813835-2021-06-12, Guwahati,"(26.1805978, 91.753943)"
"3 cops booked for stealing gold, cash after raid in Tamil Nadu's Vellore",https://www.indiatoday.in/crime/story/cops-stealing-gold-cash-raid-tamil-nadu-vellore-1813819-2021-06-12, Vellore,"(12.7948109, 79.0006410968549)"
"Thane: Woman dies after falling off auto while trying to get mobile phone back from robbers, 2 arrested",https://www.indiatoday.in/crime/story/thane-woman-dies-falling-off-auto-mobile-phone-robbers-1813400-2021-06-11, Thane,"(19.1943294, 72.9701779)"
Woman set on fire by live-in partner in Kerala's Kollam district dies,https://www.indiatoday.in/crime/story/woman-set-on-fire-by-live-in-partner-in-kerala-s-kollam-district-dies-1813347-2021-06-10, Kerala,"(10.3528744, 76.5120396)"
"Tortured by son during Covid lockdown, Marine Drive resident gets relief from Bombay High Court ",https://www.indiatoday.in/crime/story/tortured-by-son-during-covid-lockdown-marine-drive-resident-gets-relief-from-bombay-high-court-1813198-2021-06-10, Mumbai,"(19.0759899, 72.8773928)"
Grandmother kills 3-year-old to teach lesson to another after dispute in Rajasthan's Baran,https://www.indiatoday.in/crime/story/grandmother-kills-3-year-old-teach-lesson-to-another-dispute-rajasthan-baran-1813145-2021-06-10, Baran (Rajasthan),"(24.9171512, 76.69640322489136)"
"Minor boy humiliated, forced to dress like woman in Rajasthan’s Sikar; 4 held",https://www.indiatoday.in/crime/story/minor-boy-humiliated-forced-dress-woman-sikar-rajasthan-1812997-2021-06-10, Sikar,"(27.662826000000003, 75.02792628691331)"
"Udaipur: Milkman beheads camel as sacrifice for success, 4 arrested",https://www.indiatoday.in/crime/story/udaipur-milkman-beheads-camel-sacrifice-success-arrested-1812996-2021-06-10, Udaipur,"(24.578721, 73.6862571)"
"UP: Video of men molesting minor girl in sugarcane field goes viral, 5 arrested",https://www.indiatoday.in/crime/story/up-video-men-molesting-minor-sugarcane-field-viral-arrested-1812993-2021-06-10, Udaipur,"(24.578721, 73.6862571)"
"Jharkhand BJP leader's daughter found hanging from tree with eye gouged out, kin allege rape, murder",https://www.indiatoday.in/india/story/jharkhand-palamu-local-bjp-leader-daughter-rape-murder-eye-gouged-out-1812935-2021-06-09, Ranchi,"(23.3700354, 85.3250132)"
Haryana: Boxer stabbed to death as he tried to stop fight between two sides over molestation,https://www.indiatoday.in/crime/video/haryana-boxer-stabbed-to-death-as-he-tried-to-stop-fight-between-two-sides-over-molestation-1812879-2021-06-09, Ranchi,"(23.3700354, 85.3250132)"
Six youths held for cutting birthday cake with machete in Chennai,https://www.indiatoday.in/cities/chennai/story/six-youths-held-for-cutting-birthday-cake-with-machete-in-chennai-1812639-2021-06-09, New Delhi,"(28.6138954, 77.2090057)"
"Children forced to drink liquor at biriyani party in Karnataka, 2 arrested",https://www.indiatoday.in/crime/story/children-forced-drink-liquor-biriyani-party-karnataka-1812596-2021-06-09, New Delhi,"(28.6138954, 77.2090057)"
"Assam: Woman raped in Jorhat's fish market, 2 arrested ",https://www.indiatoday.in/india/story/assam-woman-raped-in-jorhats-fish-market-2-arrested-1812447-2021-06-08, Guwahati,"(26.1805978, 91.753943)"
Gujarat: Man kills wife publicly in Jamnagar over suspicion of affair,https://www.indiatoday.in/crime/story/gujarat-man-kills-wife-jamnagar-suspicion-affair-1812295-2021-06-08, New Delhi,"(28.6138954, 77.2090057)"
Mumbai: Man held for making fake Covid drugs at private lab in UP's Meerut,https://www.indiatoday.in/crime/story/mumbai-man-held-making-fake-covid-drugs-private-lab-meerut-1812228-2021-06-08, Mumbai,"(19.0759899, 72.8773928)"
"Job loss, property greed: Man kills brother in Haryana's Panchkula",https://www.indiatoday.in/crime/story/job-loss-property-greed-man-kills-brother-haryana-panchkula-1812217-2021-06-08, New Delhi,"(28.6138954, 77.2090057)"
"Angry with wife for delivering 3 daughters, MP man throws her, 2 kids in well; 1 dies",https://www.indiatoday.in/crime/story/angry-with-wife-3-daughters-mp-man-throws-her-2-kids-in-well-1-dies-1811701-2021-06-07, Bhopal,"(23.2584857, 77.401989)"
UP: Drunk man kills wife after she 'fails' to serve him salad with dinner,https://www.indiatoday.in/crime/story/up-drunk-man-kills-wife-shamli-1811159-2021-06-05, New Delhi,"(28.6138954, 77.2090057)"
"Delhi: E-rickshaw driver stabs woman multiple times, held",https://www.indiatoday.in/cities/delhi/story/delhi-e-rickshaw-driver-stabs-woman-multiple-times-held-1811086-2021-06-05, New Delhi,"(28.6138954, 77.2090057)"
"Groom abducted from mandap, threatened to call off wedding in UP ",https://www.indiatoday.in/crime/story/groom-abducted-mandap-uttar-pradesh-threatened-wedding-1810669-2021-06-04, New Delhi,"(28.6138954, 77.2090057)"
Customs seizes 367 iPhones worth over Rs 3 crore at Delhi airport ,https://www.indiatoday.in/cities/delhi/story/customs-seizes-367-iphones-worth-over-rs-3-crore-at-delhi-airport-1810461-2021-06-03, New Delhi,"(28.6138954, 77.2090057)"
Eight men free criminal from police custody during BJP leader's birthday celebrations in UP's Kanpur,https://www.indiatoday.in/crime/story/eight-men-free-criminal-from-police-custody-during-bjp-leader-s-birthday-celebrations-in-up-s-kanpur-1810186-2021-06-03, Kanpur,"(26.4609135, 80.3217588)"
"Salad served late, UP man hacks wife to death, leaves son in critical state",https://www.indiatoday.in/crime/story/salad-served-late-up-man-hacks-wife-to-death-1809892-2021-06-02, Shamli,"(29.5008816, 77.34838258540861)"
Cleric arrested for raping minor girl inside mosque in Delhi,https://www.indiatoday.in/cities/delhi/story/cleric-rapes-minor-year-old-girl-gone-fetch-water-delhi-mosque-arrested-1809861-2021-06-02, New Delhi,"(28.6138954, 77.2090057)"
Chennai: Survivors open up about their trauma as sexual harassment cases surface,https://www.indiatoday.in/crime/video/chennai-survivors-open-up-about-their-trauma-as-sexual-harassment-cases-surface-1809856-2021-06-02, New Delhi,"(28.6138954, 77.2090057)"
Odisha woman's body exhumed 2 days after death,https://www.indiatoday.in/crime/story/odisha-woman-s-body-exhumed-2-days-after-death-1809742-2021-06-02, Bhubaneshwar,"(20.2602964, 85.8394521)"
Young woman killed in running train in MP,https://www.indiatoday.in/crime/story/young-woman-killed-in-running-train-in-mp-1809738-2021-06-02, Bhopal,"(23.2584857, 77.401989)"
Ghaziabad man shoots wife for not bringing ‘enough’ dowry,https://www.indiatoday.in/crime/story/woman-shot-dead-husband-dowry-issue-ghaziabad-1809730-2021-06-02, Ghaziabad,"(28.711241, 77.4445372)"
"Mumbai: Woman kills husband with lover's help in front of minor daughter, buries body in her room",https://www.indiatoday.in/cities/mumbai/story/mumbai-woman-kills-husband-with-lover-s-help-in-front-of-minor-daughter-buries-body-in-her-room-1809719-2021-06-01, Mumbai,"(19.0759899, 72.8773928)"
"UP: Man kills wife, critically injures son for salad",https://www.indiatoday.in/crime/story/up-man-kills-wife-critically-injures-son-for-salad-1809616-2021-06-01, Muzaffarnagar (UP),"(29.44800635, 77.74068502568672)"
"Tamil Nadu: Gang posts videos of threatening people on road with weapons, 4 arrested",https://www.indiatoday.in/india/story/tamil-nadu-gang-posts-videos-of-threatening-people-on-road-with-weapons-4-arrested-1809575-2021-06-01, Muzaffarnagar (UP),"(29.44800635, 77.74068502568672)"
"'Will return your car tomorrow': Thief runs away with car in Jalandhar, finds old woman sitting inside",https://www.indiatoday.in/crime/story/jalandhar-model-town-car-theft-old-woman-1809397-2021-06-01, Jalandhar,"(31.29201065, 75.56805772253911)"
"Murder on cam: 19-year-old boy stabbed to death by two security guards, both at large",https://www.indiatoday.in/cities/story/security-guards-stab-to-death-19-year-old-boy-incident-caught-on-cctv-1809252-2021-05-31, Mumbai,"(19.0759899, 72.8773928)"
"Denied ambulance, Assam woman raped by 2 while walking home from hospital",https://www.indiatoday.in/crime/story/assam-hospital-ambulance-denied-rape-1808866-2021-05-31, New Delhi,"(28.6138954, 77.2090057)"
"Chhattisgarh: Daughter accuses man of raping, torturing her for over two years",https://www.indiatoday.in/crime/story/chhattisgarh-daughter-accuses-man-of-raping-torturing-her-for-over-two-years-1808811-2021-05-31, Raipur,"(21.2379469, 81.6336833)"
